"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/navigation-api/navigate-event/navigation-traverseTo-in-iframe-same-document-preventDefault.html",2,0,0,""
"/navigation-api/navigate-event/navigation-traverseTo-navigates-top-and-same-doc-child-and-cross-doc-child.html",2,0,0,""
"/navigation-api/ordering-and-transition/anchor-download-intercept.html?no-currententrychange",1,0,0,""
"/navigation-api/currententrychange-event/anchor-click.html",1,0,0,""
"/navigation-api/navigation-history-entry/key-id-location-replace.html",1,0,0,""
"/navigation-api/navigation-methods/return-value/back-204-205-download.html",3,0,0,""
"/navigation-api/navigation-history-entry/no-referrer-dynamic-url-censored.html",1,0,0,""
"/navigation-api/navigation-history-entry/entries-after-srcdoc-navigation.html",1,0,0,""
"/navigation-api/ordering-and-transition/back-same-document-intercept.html?currententrychange",1,0,0,""
"/navigation-api/navigate-event/navigatesuccess-same-document.html",1,0,0,""
"/navigation-api/scroll-behavior/manual-scroll-push.html",1,0,0,""
"/navigation-api/scroll-behavior/manual-scroll-fragment-does-not-exist.html",1,0,0,""
"/navigation-api/navigation-methods/return-value/navigate-push-initial-about-blank.html",1,0,0,""
"/navigation-api/ordering-and-transition/navigate-cross-document-double.html",1,0,0,""
"/navigation-api/navigation-history-entry/no-referrer-url-censored.html",1,0,0,""
"/navigation-api/navigation-methods/return-value/reload-detach-in-serialization.html",1,0,0,""
"/navigation-api/navigation-history-entry/entries-after-blank-navigation.html",1,0,0,""
"/navigation-api/navigation-methods/return-value/navigate-detach-in-serialization.html",1,0,0,""
"/navigation-api/navigation-methods/navigate-replace-cross-document.html",1,0,0,""
"/navigation-api/navigate-event/navigate-form-requestSubmit.html",2,0,0,""
"/navigation-api/navigation-methods/forward-to-pruned-entry.html",2,0,0,""
"/navigation-api/navigation-history-entry/entries-in-new-javascript-url-iframe.html",1,0,0,""
"/navigation-api/navigate-event/intercept-popstate.html",1,0,0,""
"/navigation-api/navigate-event/navigate-navigation-back-cross-document.html",1,0,0,""
"/navigation-api/ordering-and-transition/anchor-download-intercept-reject.html?currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/anchor-download-intercept.html?currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/transition-cross-document.html",2,0,0,""
"/navigation-api/navigate-event/navigate-destination-dynamic-index.html",2,0,0,""
"/navigation-api/ordering-and-transition/currententrychange-before-popstate-intercept.html",1,0,0,""
"/navigation-api/ordering-and-transition/location-href-intercept-reject.html?no-currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/location-href-intercept-reject.html?currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/back-same-document-intercept.html?no-currententrychange",1,0,0,""
"/navigation-api/navigation-methods/sandboxing-navigate-sibling.html",2,0,0,""
"/navigation-api/navigation-history-entry/entries-after-bfcache.html",1,0,0,""
"/navigation-api/scroll-behavior/manual-scroll-replace.html",1,0,0,""
"/navigation-api/navigation-methods/back-forward-multiple-frames.html",2,0,0,""
"/navigation-api/ordering-and-transition/anchor-download-intercept-reject.html?no-currententrychange",1,0,0,""
"/navigation-api/navigation-activation/activation-after-bfcache-cross-origin.html",1,0,0,""
"/navigation-api/navigation-methods/sandboxing-back-sibling.html",1,0,0,""
"/navigation-api/navigation-methods/sandboxing-back-parent.html",1,0,0,""
"/navigation-api/navigation-activation/activation-initial-about-blank.html",1,0,0,""
"/navigation-api/scroll-behavior/after-transition-replace.html",1,0,0,""
"/navigation-api/ordering-and-transition/back-same-document-intercept-reject.html?no-currententrychange",2,0,0,""
"/navigation-api/navigation-methods/traverseTo-navigates-multiple-iframes.html",1,0,0,""
"/navigation-api/navigation-history-entry/entries-after-blob-navigation.html",1,0,0,""
"/navigation-api/navigation-history-entry/entry-after-detach.html",1,0,0,""
"/navigation-api/navigation-history-entry/entries-after-javascript-url-navigation.html",1,0,0,""
"/navigation-api/navigation-history-entry/no-referrer-from-meta-url-censored.html",1,0,0,""
"/navigation-api/scroll-behavior/after-transition-push.html",1,0,0,""
"/navigation-api/focus-reset/autofocus.html",1,0,0,""
"/navigation-api/ordering-and-transition/navigate-204-205-download-then-same-document.html",3,0,0,""
"/navigation-api/ordering-and-transition/location-href-intercept.html?currententrychange",1,0,0,""
"/navigation-api/navigation-methods/traverseTo-detach-between-navigate-and-navigatesuccess.html",1,0,1,""
"/navigation-api/navigation-history-entry/after-detach.html",1,0,0,""
"/navigation-api/ordering-and-transition/back-same-document-intercept-reject.html?currententrychange",2,0,0,""
"/navigation-api/per-entry-events/dispose-same-document.html",1,0,0,""
"/navigation-api/per-entry-events/dispose-for-navigation-in-child.html",2,0,0,""
"/navigation-api/scroll-behavior/manual-scroll-reload-no-scroll-anchoring.html",1,0,0,""
"/navigation-api/ordering-and-transition/location-href-intercept.html?no-currententrychange",1,0,0,""
"/navigation-api/scroll-behavior/after-transition-reload-no-scroll-anchoring.html",1,0,0,""
"/navigation-api/navigation-activation/activation-after-bfcache.html",1,0,0,""
"/navigation-api/per-entry-events/dispose-after-bfcache.html",1,0,0,""
"/navigation-api/scroll-behavior/after-transition-reject.html",1,0,0,""
"/navigation-api/navigate-event/navigate-to-srcdoc.html",1,0,0,""
"/navigation-api/per-entry-events/dispose-same-document-intercept.html",1,0,0,""
"/navigation-api/navigation-methods/sandboxing-navigate-parent.html",1,0,0,""
